video_path,frame_path,keypoints_path,mp4_path,n_frames,n_json,frames_done,sapiens_done,reextract_done,overlay_done,use_video,is_val
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair1.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair1_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair1.mp4,349.0,349.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair2.MOV,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair2_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair2.mp4,312.0,312.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair3.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair3_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_chair3.mp4,347.0,347.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_wheelchair3.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_wheelchair3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_wheelchair3_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Hip Flexion Extension_wheelchair3.mp4,413.0,413.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Knee Extension_Chair1.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Knee Extension_Chair1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Knee Extension_Chair1_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Knee Extension_Chair1.mp4,346.0,346.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Knee Extension_Chair2.MOV,1_FRAME/AI_dataset/N01/N01_Treatment/Knee Extension_Chair2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Knee Extension_Chair2_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Knee Extension_Chair2.mp4,292.0,292.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair1.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair1_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair1.mp4,353.0,353.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair2.MOV,1_FRAME/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair2_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair2.mp4,313.0,313.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair3.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair3_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Knee Extension_Wheelchair3.mp4,342.0,342.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Knee Extension_chair3.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Knee Extension_chair3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Knee Extension_chair3_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Knee Extension_chair3.mp4,334.0,334.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Knee Flexion1.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Knee Flexion1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Knee Flexion1_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Knee Flexion1.mp4,481.0,481.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Knee Flexion2.MOV,1_FRAME/AI_dataset/N01/N01_Treatment/Knee Flexion2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Knee Flexion2_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Knee Flexion2.mp4,285.0,285.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/Knee Flexion3.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/Knee Flexion3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/Knee Flexion3_JSON,3_MP4/AI_dataset/N01/N01_Treatment/Knee Flexion3.mp4,338.0,338.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/SLR_bobathtable1.MOV,1_FRAME/AI_dataset/N01/N01_Treatment/SLR_bobathtable1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/SLR_bobathtable1_JSON,3_MP4/AI_dataset/N01/N01_Treatment/SLR_bobathtable1.mp4,1039.0,0.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/SLR_bobathtable2.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/SLR_bobathtable2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/SLR_bobathtable2_JSON,3_MP4/AI_dataset/N01/N01_Treatment/SLR_bobathtable2.mp4,511.0,511.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Treatment/SLR_bobathtable3.MP4,1_FRAME/AI_dataset/N01/N01_Treatment/SLR_bobathtable3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Treatment/SLR_bobathtable3_JSON,3_MP4/AI_dataset/N01/N01_Treatment/SLR_bobathtable3.mp4,465.0,465.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Ankle Pumping1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Ankle Pumping1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Ankle Pumping1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Ankle Pumping1.mp4,426.0,426.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Ankle Pumping2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Ankle Pumping2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Ankle Pumping2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Ankle Pumping2.mp4,358.0,358.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Ankle Pumping3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Ankle Pumping3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Ankle Pumping3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Ankle Pumping3.mp4,360.0,360.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Biceps Curl_1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Biceps Curl_1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Biceps Curl_1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Biceps Curl_1.mp4,351.0,351.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Biceps Curl_2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Biceps Curl_2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Biceps Curl_2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Biceps Curl_2.mp4,350.0,350.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Biceps Curl_3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Biceps Curl_3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Biceps Curl_3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Biceps Curl_3.mp4,346.0,0.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral1.mp4,354.0,354.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral2.mp4,371.0,371.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Biceps Curl_Bilateral3.mp4,369.0,369.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Bridge_Dynamic1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Bridge_Dynamic1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Bridge_Dynamic1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Bridge_Dynamic1.mp4,417.0,417.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Bridge_Dynamic2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Bridge_Dynamic2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Bridge_Dynamic2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Bridge_Dynamic2.mp4,420.0,420.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Bridge_Dynamic3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Bridge_Dynamic3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Bridge_Dynamic3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Bridge_Dynamic3.mp4,376.0,376.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Bridge_static1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Bridge_static1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Bridge_static1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Bridge_static1.mp4,658.0,658.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Bridge_static2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Bridge_static2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Bridge_static2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Bridge_static2.mp4,633.0,633.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Bridge_static3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Bridge_static3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Bridge_static3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Bridge_static3.mp4,636.0,636.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Chest Press1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Chest Press1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Chest Press1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Chest Press1.mp4,390.0,390.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Chest Press2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Chest Press2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Chest Press2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Chest Press2.mp4,359.0,0.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Chest Press3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Chest Press3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Chest Press3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Chest Press3.mp4,359.0,359.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Clamshell_Sidelying1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Clamshell_Sidelying1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Clamshell_Sidelying1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Clamshell_Sidelying1.mp4,397.0,397.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Clamshell_Sidelying2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Clamshell_Sidelying2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Clamshell_Sidelying2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Clamshell_Sidelying2.mp4,372.0,372.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Clamshell_Sidelying3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Clamshell_Sidelying3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Clamshell_Sidelying3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Clamshell_Sidelying3.mp4,402.0,402.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Clamshell_Supine1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Clamshell_Supine1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Clamshell_Supine1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Clamshell_Supine1.mp4,411.0,411.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Clamshell_Supine2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Clamshell_Supine2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Clamshell_Supine2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Clamshell_Supine2.mp4,408.0,408.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Clamshell_Supine3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Clamshell_Supine3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Clamshell_Supine3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Clamshell_Supine3.mp4,373.0,373.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Hip Extension1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Hip Extension1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Hip Extension1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Hip Extension1.mp4,339.0,339.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Hip Extension2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Hip Extension2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Hip Extension2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Hip Extension2.mp4,360.0,0.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Hip Extension3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Hip Extension3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Hip Extension3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Hip Extension3.mp4,344.0,344.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Hip abduction1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Hip abduction1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Hip abduction1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Hip abduction1.mp4,409.0,409.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Hip abduction2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Hip abduction2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Hip abduction2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Hip abduction2.mp4,379.0,379.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Hip abduction3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Hip abduction3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Hip abduction3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Hip abduction3.mp4,361.0,361.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Hip knee flexion1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Hip knee flexion1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Hip knee flexion1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Hip knee flexion1.mp4,466.0,466.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Hip knee flexion2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Hip knee flexion2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Hip knee flexion2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Hip knee flexion2.mp4,383.0,383.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Hip knee flexion3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Hip knee flexion3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Hip knee flexion3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Hip knee flexion3.mp4,371.0,371.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Knee flexion1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Knee flexion1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Knee flexion1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Knee flexion1.mp4,331.0,331.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Knee flexion2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Knee flexion2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Knee flexion2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Knee flexion2.mp4,362.0,362.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Knee flexion3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Knee flexion3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Knee flexion3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Knee flexion3.mp4,349.0,349.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Leg cycle exercise1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Leg cycle exercise1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Leg cycle exercise1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Leg cycle exercise1.mp4,371.0,371.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Leg cycle exercise2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Leg cycle exercise2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Leg cycle exercise2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Leg cycle exercise2.mp4,338.0,338.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Leg cycle exercise3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Leg cycle exercise3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Leg cycle exercise3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Leg cycle exercise3.mp4,345.0,345.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Lumbar rotation1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/Lumbar rotation1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Lumbar rotation1_JSON,3_MP4/AI_dataset/N01/N01_Ward/Lumbar rotation1.mp4,398.0,398.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Lumbar rotation2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Lumbar rotation2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Lumbar rotation2_JSON,3_MP4/AI_dataset/N01/N01_Ward/Lumbar rotation2.mp4,441.0,441.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/Lumbar rotation3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/Lumbar rotation3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/Lumbar rotation3_JSON,3_MP4/AI_dataset/N01/N01_Ward/Lumbar rotation3.mp4,427.0,427.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/One leg bridge_static1.MOV,1_FRAME/AI_dataset/N01/N01_Ward/One leg bridge_static1_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/One leg bridge_static1_JSON,3_MP4/AI_dataset/N01/N01_Ward/One leg bridge_static1.mp4,771.0,771.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/One leg bridge_static2.MP4,1_FRAME/AI_dataset/N01/N01_Ward/One leg bridge_static2_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/One leg bridge_static2_JSON,3_MP4/AI_dataset/N01/N01_Ward/One leg bridge_static2.mp4,716.0,716.0,True,True,True,True,False,False
0_RAW_DATA/AI_dataset/N01/N01_Ward/One leg bridge_static3.MP4,1_FRAME/AI_dataset/N01/N01_Ward/One leg bridge_static3_frames,2_KEYPOINTS/AI_dataset/N01/N01_Ward/One leg bridge_static3_JSON,3_MP4/AI_dataset/N01/N01_Ward/One leg bridge_static3.mp4,719.0,719.0,True,True,True,True,False,False
